title,keywords
首次成功着陆：SpaceX星舰试飞实现突破,星舰 飞船 spacex 测试 sn15 进行 降落 科技 发动机 starship 载人 航空 发射 设计 制造 首席 燃料 原型 飞行 垂直
讨好上级和讨好下属，哪个更重要？,下属 员工 管理者 管理 工作 团队 方式 因素 挑战 满意 成长 发展 评价 激励 人才 挑战性 满足 可能 表现 需要
揭秘！阿里实时数仓分布式事务Scale Out设计,master 事务 实现 进行 系统 分布式 gxid 性能 数据 pg 协议 gtm main 进程 节点 需要 信息 查询 multi adb
年龄不是问题！,当下 没有 中年 深圳 未来 星球 公司 危机 当时 修行 准备 话题 人生 兰军 焦虑症 类似 链家 星空 看到 无需
朋友去网易面试，挂了～,技术 实现 底层 需要 工作 应用 能力 业务 学习 c++ 场景 经验 机制 反馈 程序员 代码 进程 算法 需求 无法
又一家公司放弃自动驾驶研究！Lyft作价5.5亿美元把该业务卖了,lyft 自动 技术 uber 公司 驾驶 业务 部门 planet 需要 交易 表示 atg 时间 出售 https news 世界 落地 支付
NLP模型「可理解分析+评价排行榜」，CMU最新工具助你找到好idea,模型 系统 explainaboard 语言 排行榜 分析 发展 理解 问题 预测 科研 挖掘 任务 结合 设计 领域 目前 转化成 工作 阅读
决定创业的那个瞬间,故事 美国 创业 vp 银行 diversity 事情 没有 背景 收银员 大家 看到 大佬 晋升 工作 应该 告诉 管理 加利福尼亚 纽约
基于NVIDIA GPU和RAPIDS加速Spark 3.0,gpu 数据 cpu spark 比如说 shuffle 加速 可能 版本 支持 处理 推荐 rapids 操作 达到 目前 大家 优化 分享 网络
持续性混吃等死,通用 看一看 打开 设置 发现 管理 入口 关闭
实践之后，我们来谈谈如何做好威胁建模,安全 业务 威胁 建模 系统 团队 风险 产品 没有 技术 问题 服务 设计 攻击 进行 需要 工具 解决 评审 攻击者
永不消失的小红点,用户 消息 推送 信息 产品 选择 可能 层面 机制 垃圾 需要 控制 骚扰 提示 提醒 问题 通知 ikonimages 高品 热衷
Flink在快手的持续优化与实践,任务 启动 flink 故障 集群 kafka 数据 source sql 聚合 优化 包括 逻辑 问题 资源 sink 需要 业务 分享 task
贝壳基于事理图谱的应用与实践,知识 数据 培训 业务 经纪人 图谱 贝壳 应用 过程 行业 诉求 作业 进行 事理 能够 质量 公司 幼儿园 方式 实体
k8s学习之路【02.基础概念介绍】,pod nginx deployment kubectl kubernetes k8s 容器 创建 如下 服务 概念 对象 service 问题 进行 类型 replicaset 管理 没有 集群
超越I2I和向量内积，淘宝新一代召回范式：PDN模型,商品 用户 召回 模型 表示 pdn 信息 进行 i2i trigger 向量 方法 索引 simnet 利用 范式 推荐 可能 建模 部分
Uber 的真正“法宝”是数据,数据 工具 问题 服务 测试 用户 创建 提供 应用程序 团队 更改 改进 度量 进行 日志 使用 关键 导致 质量 平台
搞了一场见面会,通用 看一看 打开 设置 发现 管理 入口 关闭
Bose，清华，控制论……以及一位几乎被遗忘的中国科学家,李郁荣 控制论 公司 美国 mit bose 名字 专利 合作 数学 工作 工程 控制室 印度 英国 领域 清华 产生 博士 理论
美团Serverless平台Nest的探索与实践,业务 函数 serverless 平台 实例 服务 流量 资源 问题 kubernetes 伸缩 产品 nest 容器 能力 技术 机器 实现 优化 使用
汽车之家数据传输平台建设实践,数据 任务 flink 进行 系统 问题 开发 使用 平台 接入 需要 source 支持 传输 checkpoint sql 功能 用户 服务 管理
我的北漂生活结束了，我会怀恋它,北京 运营 城市 选择 未来 没有 团队 感觉 工作 需要 事情 南京 朋友 合伙人 大家 读者 目标 编辑 发现 认可
像人一样自然流畅地说话，下一代智能对话系统还有多长的路要走？,对话 能够 问题 模型 机器 用户 可能 理解 进行 系统 人类 研究 数据 需要 推理 情感 交流 领域 知道 人工智能
关于知识付费的一件小事儿,探讨 概括 付费 知识 设计 朋友 阅读 领域 时间 流量 博微信 不会 肯定 篇文章 市场 内容 用户 竞品 切入点 专家
使用Kubernetes，一个人如何支撑起创业公司运作？,作者 使用 kubernetes 集群 自动 管理 服务 panelbear 进行 django 运行 部署 true 客户 api 需要 应用程序 容器 app aws
迭代开发中的微服务拆分,业务 服务 拆分 需要 数据 领域 接口 测试 进行 代码 开发 产生 问题 理解 架构 数据表 实现 上下文 项目 当前
三分钟将文集转成在线电子书,https hugo book sanic k8s 博客 工作 电子书 主题 目前 文章 如下 server 整理 问题 ml 学习 复制 true pages
从零开始实现一个iOS APP,需要 功能 学习 时间 使用 过程 实现 设计 超市 技术 app 商品 可能 产品 考虑 购物 细节 项目 列表 ios
中文NER碎碎念：聊聊词汇增强与实体嵌套,实体 模型 span 词汇 问题 结构 识别 bert mrc lstm 长度 预测 ner lattice 表示 flat 融合 位置 关系 可能
知识的普及，还大有可为,曲率 曲线 知识 文章 没有 大家 互联网 时空 介绍 应该 公式 学习 穿越 视频 说明 教程 计算 方程 用来 来自
